"","variety","winery","taster_name","taster_twitter_handle","title"
"1","White Blend","Nicosia","Kerin O’Keefe","@kerinokeefe","Nicosia 2013 Vulkà Bianco  (Etna)"
"2","Portuguese Red","Quinta dos Avidagos","Roger Voss","@vossroger","Quinta dos Avidagos 2011 Avidagos Red (Douro)"
"3","Pinot Gris","Rainstorm","Paul Gregutt","@paulgwine ","Rainstorm 2013 Pinot Gris (Willamette Valley)"
"4","Riesling","St. Julian","Alexander Peartree","","St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)"
"5","Tempranillo-Merlot","Tandem","Michael Schachner","@wineschach","Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)"
"6","Gewürztraminer","Heinz Eifel","Anna Lee C. Iijima","","Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)"
"7","Cabernet Sauvignon","Kirkland Signature","Virginie Boone","@vboone","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)"
"8","Chardonnay","Mirassou","Matt Kettmann","@mattkettmann","Mirassou 2012 Chardonnay (Central Coast)"
"9","Red Blend","Duca di Salaparuta","Unknown","","Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia)"
"10","Malbec","Mellisoni","Sean P. Sullivan","@wawinereport","Mellisoni 2014 Malbec (Columbia Valley (WA))"
"11","Red Blend","Cocobon","Jim Gordon","@gordone_cellars","Cocobon 2014 Red (California)"
"12","Chardonnay","Yalumba","Joe Czerwinski","@JoeCz","Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)"
"13","Grüner Veltliner","Fuchs","Anne Krebiehl MW","@AnneInVino","Fuchs 2015 Grüner Veltliner (Burgenland)"
"14","Chenin Blanc","Spier","Lauren Buzzeo","@laurbuzz","Spier 2014 21 Gables Chenin Blanc (Western Cape)"
"15","Syrah","Yatir","Mike DeSimone","@worldwineguys","Yatir 2011 Syrah (Judean Hills)"
"16","Furmint","Samuel Tinon","Jeff Jenssen","@worldwineguys","Samuel Tinon 2015 Megyer Dry Furmint (Tokaj)"
"17","Gewürztraminer","Bloomer Creek","Susan Kostrzewa","@suskostrzewa","Bloomer Creek 2006 Gewürztraminer (Finger Lakes)"
"18","White Blend","The Williamsburg Winery","Carrie Dykes","","The Williamsburg Winery 2015 A Midsummer Night's White White (Virginia)"
"19","Chardonnay","Gruet","Fiona Adams","@bkfiona","Gruet NV Blanc de Blancs Chardonnay (America)"
